text,date
"This is fake news spreading everywhere",2025-08-01
"I feel like ending my life today",2025-08-01
"You are disgusting and worthless",2025-08-01
"Good morning everyone, stay positive!",2025-08-02
"Government hides the truth, total hoax!",2025-08-02
"Life is so hard, I want to kill myself",2025-08-02
"Happy to be part of this community",2025-08-02
"That’s a lie, pure misinformation",2025-08-03
"You stupid idiot!",2025-08-03
"I’m depressed and don’t want to live anymore",2025-08-03
"Such a beautiful day!",2025-08-04
"Rumor alert: vaccines don’t work!",2025-08-04
"You are trash and pathetic",2025-08-04
"Love and peace to all my friends",2025-08-04
"Breaking: Fake news about elections circulating",2025-08-05
"I want to die, nothing makes sense anymore",2025-08-05
"You are an idiot, shut up!",2025-08-05
"Rumor spreads faster than truth",2025-08-06
"Feeling suicidal and hopeless",2025-08-06
"Stay healthy, eat well, be kind",2025-08-06
"False reports circulating, don’t trust them",2025-08-07
"You are stupid and ugly",2025-08-07
"I can’t go on, life is meaningless",2025-08-07
"Good vibes only!",2025-08-07
"This is fake, don’t believe it",2025-08-08
"Kill yourself loser!",2025-08-08
"Rumor says new disease is a hoax",2025-08-08
"Stay strong, you can do it!",2025-08-08
"You worthless piece of trash",2025-08-09
"I am suicidal and want to end it all",2025-08-09
"Fake news again trending online",2025-08-09
"Sending love and positivity your way",2025-08-09
